Rank,Zip,Population,MedianHouseholdIncome,0
1,98050,208,247188,
2,98039,3080,182308,
3,98314,2175,150729,
4,98075,22483,149557,
5,98074,26386,140799,
6,98077,14154,136833,
7,98040,23636,125651,
8,98065,13202,123548,
9,98053,20739,119637,
10,99154,31,117917,
11,98006,37059,111216,
12,98296,29304,108793,
13,98072,22485,107009,
14,98033,35605,103995,
15,98052,60920,103086,
16,98027,27147,102760,
17,98112,22290,100694,
18,98004,31254,100344,
19,98029,26193,99519,
20,98024,5988,99257,
21,98014,6902,97806,
22,99005,8291,96689,
23,98110,23206,95976,
24,98021,28593,95666,
25,98333,3556,95487,
26,99023,605,93750,
27,98038,34076,93573,
28,98059,36504,93486,
29,99338,12914,93475,
30,98019,10815,93004,
31,98117,31778,91199,
32,98177,18867,90758,
33,98275,20635,89942,
34,98008,24452,88862,
35,98115,48558,88633,
36,98028,21232,88472,
37,98042,44599,88006,
38,98045,14643,87470,
39,98012,53837,86886,
40,99036,1255,86382,
41,98005,17880,85639,
42,98164,73,85150,
43,98136,15302,85040,
44,98332,16332,83790,
45,98199,20548,83611,
46,98607,28944,83602,
47,98280,368,82857,
48,98345,543,82532,
49,98391,45890,81918,
50,98422,20344,81761,
51,98327,9006,81329,
52,98058,42764,81221,
53,98109,22401,81134,
54,98034,42335,81037,
55,99353,14124,80164,
56,98272,29049,80113,
57,98685,26954,79265,
58,98020,19109,79246,
59,98051,3402,78941,
60,98642,16294,78448,
61,98335,25605,78044,
62,98258,31952,77616,
63,98103,47559,76925,
64,98374,38570,76880,
65,98606,9339,76722,
66,98290,32942,76569,
67,98360,11914,76500,
68,99025,5029,76477,
69,98380,5028,76458,
70,99352,28409,76336,
71,99128,368,75833,
72,98007,25521,75264,
73,99323,3451,75046,
74,98011,30787,74975,
75,98232,3568,74750,
76,98119,23506,74661,
77,98208,53600,74580,
78,98538,226,74375,
79,98629,8479,74102,
80,98026,36173,74071,
81,98367,27616,73811,
82,98116,23780,73667,
83,98292,21472,73511,
84,98205,11957,72639,
85,98070,10447,72568,
86,98121,12753,72544,
87,98001,31742,72540,
88,98056,33878,72420,
89,98155,33850,72241,
90,98686,18060,72204,
91,99019,9681,72127,
92,98321,14272,72098,
93,98649,1182,72045,
94,98092,40610,71803,
95,98107,22772,71597,
96,98010,4789,71280,
97,98375,28969,71132,
98,99026,9888,70754,
99,98370,28482,70738,
100,98385,395,70227,
101,98950,563,69886,
102,98346,10531,69625,
103,98359,4493,68977,
104,98252,9167,68958,
105,98833,190,68750,
106,98513,33792,68651,
107,98329,10581,68170,
108,99113,652,68167,
109,98516,21702,68118,
110,98102,22776,68109,
111,98338,24352,68104,
112,98311,26680,68056,
113,98023,49402,67881,
114,98262,1079,67813,
115,98671,22633,67655,
116,98354,7201,67485,
117,98276,625,67454,
118,98501,40618,67384,
119,99203,20721,67367,
120,98126,21648,67359,
121,98396,613,67250,
122,98251,4737,67012,
123,98282,15201,66890,
124,98938,2593,66750,
125,98512,28627,66517,
126,98604,34840,66206,
127,99337,29798,66201,
128,99003,5130,66169,
129,98087,32833,66135,
130,98223,41037,66092,
131,98371,19748,66067,
132,98407,20415,65939,
133,98271,27806,65907,
134,98342,1421,65875,
135,98022,21353,65864,
136,98340,2639,65586,
137,98836,1058,65462,
138,98166,21187,65374,
139,98031,36953,65321,
140,99360,1345,65208,
141,99179,603,64917,
142,98270,47288,64644,
143,98592,1511,64524,
144,98446,9897,64163,
145,98546,3356,64053,
146,98387,44765,63994,
147,98253,1776,63971,
148,98674,11174,63774,
149,99134,648,63750,
150,98260,5516,63650,
151,99029,1512,63364,
152,98243,406,63125,
153,98372,23190,63121,
154,98036,37380,63118,
155,98055,21532,63030,
156,99320,8791,63005,
157,99223,30757,62647,
158,98862,2147,62549,
159,98502,30299,62475,
160,99401,237,62396,
161,98406,21824,62328,
162,98585,660,62222,
163,98365,4507,62143,
164,98383,20816,62113,
165,99135,260,62083,
166,99354,22653,61961,
167,98832,263,61875,
168,98295,2448,61625,
169,98236,5840,61558,
170,98580,11090,61516,
171,98239,7020,61429,
172,98043,20358,61396,
173,98443,5542,61307,
174,98328,9526,61250,
175,98373,23096,61228,
176,98250,7771,61116,
177,98828,2310,60913,
178,98565,516,60833,
179,98221,20466,60811,
180,99030,980,60750,
181,98358,1218,60647,
182,98037,27676,60629,
183,99146,89,60521,
184,99123,1209,60263,
185,98249,4435,60153,
186,98144,27496,60143,
187,98467,15836,60125,
188,98506,18288,60079,
189,98662,33688,60034,
190,98675,7335,59871,
191,98247,10458,59852,
192,99037,12604,59758,
193,98815,7335,59735,
194,98229,31522,59709,
195,98603,1013,59708,
196,98940,572,59653,
197,98178,23866,59637,
198,98240,2862,59615,
199,98286,221,59375,
200,98248,22741,59369,
201,98264,18096,59354,
202,98682,56326,59325,
203,98445,30199,59135,
204,98683,31908,58874,
205,98222,53,58750,
206,99016,12908,58608,
207,98542,459,58550,
208,98571,293,58401,
209,98403,7931,58337,
210,99321,661,58300,
211,98230,16080,58277,
212,98579,13494,58239,
213,98325,1657,58125,
214,98908,35926,58063,
215,98424,10353,58008,
216,99161,1422,57904,
217,99350,14387,57882,
218,98388,6784,57880,
219,98802,28672,57872,
220,98274,17051,57756,
221,99021,8897,57727,
222,99224,20531,57706,
223,98942,16724,57583,
224,99301,74025,57533,
225,98366,33311,57413,
226,98203,34901,57261,
227,98684,27442,57216,
228,98503,36729,57198,
229,99341,786,57083,
230,98576,4691,57073,
231,98936,5562,57068,
232,98941,947,56932,
233,98613,630,56875,
234,98524,3486,56852,
235,98811,87,56607,
236,98323,600,56528,
237,98146,25722,56320,
238,99322,215,56250,
239,98498,27272,56133,
240,98284,24583,56114,
241,98312,31331,56036,
242,98226,41445,55925,
243,98122,34054,55725,
244,98953,7113,55721,
245,98537,2143,55667,
246,98625,6590,55625,
247,99022,9088,55587,
248,98198,35748,55516,
249,98830,507,55333,
250,98589,7142,55308,
251,99345,192,55139,
252,98611,10021,55021,
253,98233,14429,54867,
254,99152,195,54861,
255,98645,1193,54792,
256,98563,8320,54750,
257,98392,3019,54688,
257,98601,2643,54688,
259,98672,5731,54655,
260,98823,10821,54651,
261,98528,9286,54621,
262,98390,10558,54522,
263,99208,50686,54446,
264,99326,5912,54250,
265,98294,6654,54098,
266,98466,26498,54010,
267,98106,25023,53949,
268,98068,240,53864,
269,98277,37706,53792,
270,98650,876,53750,
271,98257,4099,53650,
272,98597,21840,53534,
273,99402,1904,53438,
274,98118,44440,53415,
275,98381,465,53409,
276,99027,6187,53263,
277,98602,96,53250,
278,98923,1053,53214,
279,98663,13566,53137,
280,99176,197,53125,
281,98351,987,53050,
282,98237,4106,53013,
283,99371,364,53000,
284,98108,24220,52934,
285,98557,3137,52780,
286,98133,46227,52663,
287,98946,588,52625,
288,99147,115,52500,
289,99343,3115,52384,
290,98125,37560,52353,
291,98349,4415,52339,
292,99006,10903,52328,
293,98030,35302,52297,
294,98047,6457,52222,
295,98925,578,52083,
296,99206,36760,52057,
297,99018,306,52045,
298,98937,3838,51850,
299,98843,1611,51827,
300,98638,1365,51771,
301,99009,4055,51726,
302,99212,19129,51687,
303,98532,23977,51685,
304,99008,594,51635,
305,98664,21205,51489,
306,98643,436,51477,
307,98648,2836,51471,
308,99122,3458,51276,
309,99347,2315,51189,
310,98279,610,51125,
311,98922,5734,51105,
312,98933,1296,51083,
313,98801,41526,50911,
314,99329,192,50417,
315,98665,24496,50305,
316,98847,1617,50195,
317,99116,1665,50134,
318,98281,1323,50133,
319,98168,33604,50054,
320,99126,1050,49946,
321,98273,29963,49945,
322,99217,18241,49731,
323,99218,15975,49521,
324,98651,814,49489,
325,98394,1525,49464,
326,98588,2165,49306,
327,99033,962,49276,
328,98376,1927,49125,
329,98591,3569,49120,
330,98261,2497,49052,
331,99039,100,49000,
332,98834,200,48875,
333,98433,18416,48869,
334,99111,4226,48835,
335,99159,1354,48750,
336,98612,2618,48594,
337,98363,13927,48398,
338,98409,23260,48357,
339,98101,10803,48337,
340,98382,27164,48228,
341,99361,1600,48194,
342,99148,1999,48125,
343,98943,827,48083,
344,98639,964,48036,
345,98837,40917,47962,
346,98824,453,47928,
347,98418,10234,47851,
348,98584,35968,47826,
349,99139,1424,47788,
350,99362,41952,47782,
351,98572,775,47500,
352,98105,44981,47474,
353,99349,8538,47428,
354,98617,1090,47344,
355,98575,153,47250,
356,98220,733,47216,
357,98032,35935,47030,
358,98826,6639,46976,
359,98465,6544,46857,
360,99158,710,46806,
361,98552,625,46750,
362,98148,10207,46737,
363,99330,806,46705,
364,99130,725,46583,
365,98362,22558,46540,
366,98568,2784,46538,
367,99169,2780,46523,
368,98408,18713,46439,
369,98619,484,46406,
370,98860,252,46364,
371,98903,15341,46297,
372,98310,19542,46017,
373,99121,160,45938,
374,98822,2093,45804,
375,99216,24089,45768,
376,98315,6355,45707,
377,98303,877,45694,
378,98527,204,45625,
379,98840,4652,45568,
380,98003,45632,45563,
381,99205,41347,45544,
382,98848,11991,45533,
383,98670,91,45417,
384,98564,2395,45313,
385,98541,10178,45262,
386,99013,1811,45147,
387,99167,659,45139,
387,99115,1309,45139,
389,98849,1436,45114,
390,99012,1051,45076,
391,98245,3746,45063,
392,98002,34240,44930,
393,99011,3097,44920,
394,98244,2912,44911,
395,98405,23846,44787,
396,98626,24352,44777,
397,99124,317,44583,
398,98624,1578,44489,
399,99125,504,44375,
400,98831,3446,44334,
401,99141,5263,44243,
402,98845,233,44091,
403,98368,14961,44085,
404,98841,8803,43972,
405,98526,277,43750,
405,98570,4161,43750,
407,99324,9273,43639,
408,98204,41337,43476,
409,99344,17064,43358,
410,98404,33462,43333,
411,98577,6649,43229,
412,98660,12345,43214,
413,98201,28380,43121,
414,98932,4986,43117,
415,98134,850,42972,
416,98858,2300,42868,
417,98266,4043,42847,
418,98520,23809,42790,
419,98816,6986,42721,
420,99170,1000,42629,
421,99171,979,42593,
422,98057,12187,42500,
423,98596,7670,42404,
424,99118,850,42344,
425,98930,16904,42338,
426,98947,3036,42263,
427,99336,49982,42043,
428,98593,926,42031,
429,99403,19886,41993,
430,99185,1178,41964,
431,99131,153,41750,
432,98857,3983,41742,
433,98632,48647,41732,
434,98569,5923,41685,
435,98926,30624,41614,
436,99103,478,41458,
437,98620,7114,41381,
438,98256,510,41250,
439,98631,3659,41214,
440,99004,18234,41177,
441,99117,498,40938,
442,99114,11689,40921,
443,99119,948,40833,
444,98188,24373,40656,
445,98661,42480,40599,
446,98812,4799,40583,
447,98350,448,40500,
448,99166,3606,40450,
449,99143,631,40357,
450,99180,1030,40203,
451,99335,245,40000,
452,98320,1263,39911,
453,99348,1709,39865,
454,99017,191,39821,
455,98444,35392,39743,
456,98610,2820,39667,
457,99328,3753,39481,
458,98605,1349,39167,
458,98934,1019,39167,
460,98241,2173,39087,
461,98499,30237,39046,
462,98855,6415,39028,
463,98935,3305,38895,
464,98590,432,38864,
465,98846,1114,38814,
466,98560,201,38750,
467,98550,11311,38726,
468,98644,338,38641,
469,99137,316,38636,
469,98614,198,38636,
471,98531,24054,38542,
472,98305,234,38333,
473,98902,46904,38142,
474,98331,6243,38054,
475,98951,13816,38024,
476,98813,3189,37986,
477,99001,6227,37880,
478,99156,8256,37309,
479,98225,47032,37189,
480,98829,750,37125,
481,98850,1555,37083,
482,99110,1589,37059,
483,98304,561,36701,
484,99101,1645,36691,
485,99102,444,36667,
485,99174,61,36667,
487,99357,4005,36573,
488,98827,676,36332,
489,98581,216,36042,
490,98944,22693,36040,
491,98533,764,36033,
492,98356,1987,35929,
493,98673,422,35893,
494,98901,29800,35842,
495,99173,1595,35762,
496,98357,1631,35667,
497,98439,5752,35590,
498,98952,2293,35574,
499,98844,4483,35542,
500,99109,5120,35242,
501,98361,1043,35208,
502,98530,522,35000,
503,99359,107,34712,
504,99346,367,34659,
505,98297,68,34583,
506,98355,563,34544,
507,99105,50,34500,
508,99133,1562,34432,
509,99032,692,34375,
510,98814,345,34355,
511,98337,6260,34299,
512,98336,866,34205,
513,99202,19814,34180,
514,98263,60,34125,
515,98640,3772,34035,
516,98948,13067,34002,
517,99149,173,33864,
518,98635,1730,33862,
519,98535,461,33507,
520,98851,3930,33481,
521,98586,2029,33393,
522,99153,379,33375,
523,98402,6486,33299,
524,99207,30559,33235,
525,98621,540,33125,
526,98819,153,32917,
527,98224,261,32813,
528,98856,2403,32744,
529,99136,33,32500,
530,98548,2389,32105,
531,98339,3040,32075,
532,98628,413,32031,
533,98595,2474,32013,
534,98616,186,31890,
535,98555,336,31760,
536,99129,829,31625,
537,99181,1850,31375,
538,99151,153,30625,
539,98104,13177,30461,
540,98283,503,30298,
541,99031,915,30250,
542,98288,169,30000,
543,98377,1768,29846,
544,99204,6521,29483,
545,99040,644,29271,
546,98587,896,29000,
547,99150,253,28750,
548,98267,516,28125,
549,98255,196,27500,
550,98582,504,27262,
551,98547,1086,27069,
552,98647,247,26488,
553,99356,285,26250,
553,99333,38,26250,
553,98939,93,26250,
556,99163,32285,26116,
557,99138,1195,25795,
558,98583,102,25729,
559,99140,409,24792,
560,99157,842,24306,
561,99201,13884,23659,
562,98921,1222,23179,
563,98536,169,22750,
564,99155,1129,22422,
565,98852,7,21250,
566,98817,429,20156,
567,99160,127,14750,
568,98821,327,13875,
569,98326,759,13667,
570,98330,167,7891,
571,98859,164,6065,
572,99144,37,2499,
