Zip , Population, MedianHouseholdIncome,
98001 ,31742, $72540,
98002 ,3424, $44930,
98003 ,45632, $45563,
98004 ,31254, $100344,
98005 ,1788, $85639,
98006 ,37059, $111216,
98007 ,25521, $75264,
98008 ,24452, $88862,
98010 ,4789, $71280,
98011 ,30787, $74975,
98012 ,53837, $86886,
98014 ,6902, $97806,
98019 ,10815, $93004,
98020 ,19109, $79246,
98021 ,28593, $95666,
98022 ,21353, $65864,
98023 ,49402, $67881,
98024 ,5988, $99257,
98026 ,36173, $74071,
98027 ,27147, $102760,
98028 ,21232, $88472,
98029 ,26193, $99519,
98030 ,35302, $52297,
98031 ,36953, $65321,
98032 ,35935, $47030,
98033 ,35605, $103995,
98034 ,42335, $81037,
98036 ,3738, $63118,
98037 ,27676, $60629,
98038 ,34076, $93573,
98039 ,308, $182308,
98040 ,23636, $125651,
98042 ,44599, $88006,
98043 ,20358, $61396,
98045 ,14643, $87470,
98047 ,6457, $52222,
98050 ,208, $247188,
98051 ,3402, $78941,
98052 ,6092, $103086,
98053 ,20739, $119637,
98055 ,21532, $63030,
98056 ,33878, $72420,
98057 ,12187, $42500,
98058 ,42764, $81221,
98059 ,36504, $93486,
98065 ,13202, $123548,
98068 ,240, $53864,
98070 ,10447, $72568,
98072 ,22485, $107009,
98074 ,26386, $140799,
98075 ,22483, $149557,
98077 ,14154, $136833,
98087 ,32833, $66135,
98092 ,4061, $71803,
98101 ,10803, $48337,
98102 ,22776, $68109,
98103 ,47559, $76925,
98104 ,13177, $30461,
98105 ,44981, $47474,
98106 ,25023, $53949,
98107 ,22772, $71597,
98108 ,2422, $52934,
98109 ,22401, $81134,
98110 ,23206, $95976,
98112 ,2229, $100694,
98115 ,48558, $88633,
98116 ,2378, $73667,
98117 ,31778, $91199,
98118 ,4444, $53415,
98119 ,23506, $74661,
98121 ,12753, $72544,
98122 ,34054, $55725,
98125 ,3756, $52353,
98126 ,21648, $67359,
98133 ,46227, $52663,
98134 ,850, $42972,
98136 ,15302, $85040,
98144 ,27496, $60143,
98146 ,25722, $56320,
98148 ,10207, $46737,
98155 ,3385, $72241,
98164 ,73, $85150,
98166 ,21187, $65374,
98168 ,33604, $50054,
98177 ,18867, $90758,
98178 ,23866, $59637,
98188 ,24373, $40656,
98198 ,35748, $55516,
98199 ,20548, $83611,
98201 ,2838, $43121,
98203 ,34901, $57261,
98204 ,41337, $43476,
98205 ,11957, $72639,
98208 ,536, $74580,
98220 ,733, $47216,
98221 ,20466, $60811,
98222 ,53, $58750,
98223 ,41037, $66092,
98224 ,261, $32813,
98225 ,47032, $37189,
98226 ,41445, $55925,
98229 ,31522, $59709,
98230 ,1608, $58277,
98232 ,3568, $74750,
98233 ,14429, $54867,
98236 ,584, $61558,
98237 ,4106, $53013,
98239 ,702, $61429,
98240 ,2862, $59615,
98241 ,2173, $39087,
98243 ,406, $63125,
98244 ,2912, $44911,
98245 ,3746, $45063,
98247 ,10458, $59852,
98248 ,22741, $59369,
98249 ,4435, $60153,
98250 ,7771, $61116,
98251 ,4737, $67012,
98252 ,9167, $68958,
98253 ,1776, $63971,
98255 ,196, $27500,
98256 ,510, $41250,
98257 ,4099, $53650,
98258 ,31952, $77616,
98260 ,5516, $63650,
98261 ,2497, $49052,
98262 ,1079, $67813,
98263 ,60, $34125,
98264 ,18096, $59354,
98266 ,4043, $42847,
98267 ,516, $28125,
98270 ,47288, $64644,
98271 ,27806, $65907,
98272 ,29049, $80113,
98273 ,29963, $49945,
98274 ,17051, $57756,
98275 ,20635, $89942,
98276 ,625, $67454,
98277 ,37706, $53792,
98279 ,610, $51125,
98280 ,368, $82857,
98281 ,1323, $50133,
98282 ,15201, $66890,
98283 ,503, $30298,
98284 ,24583, $56114,
98286 ,221, $59375,
98288 ,169, $30000,
98290 ,32942, $76569,
98292 ,21472, $73511,
98294 ,6654, $54098,
98295 ,2448, $61625,
98296 ,29304, $108793,
98297 ,68, $34583,
98303 ,877, $45694,
98304 ,561, $36701,
98305 ,234, $38333,
98310 ,19542, $46017,
98311 ,2668, $68056,
98312 ,31331, $56036,
98314 ,2175, $150729,
98315 ,6355, $45707,
98320 ,1263, $39911,
98321 ,14272, $72098,
98323 ,600, $56528,
98325 ,1657, $58125,
98326 ,759, $13667,
98327 ,9006, $81329,
98328 ,9526, $61250,
98329 ,10581, $68170,
98330 ,167, $7891,
98331 ,6243, $38054,
98332 ,16332, $83790,
98333 ,3556, $95487,
98335 ,25605, $78044,
98336 ,866, $34205,
98337 ,626, $34299,
98338 ,24352, $68104,
98339 ,304, $32075,
98340 ,2639, $65586,
98342 ,1421, $65875,
98345 ,543, $82532,
98346 ,10531, $69625,
98349 ,4415, $52339,
98350 ,448, $40500,
98351 ,987, $53050,
98354 ,7201, $67485,
98355 ,563, $34544,
98356 ,1987, $35929,
98357 ,1631, $35667,
98358 ,1218, $60647,
98359 ,4493, $68977,
98360 ,11914, $76500,
98361 ,1043, $35208,
98362 ,22558, $46540,
98363 ,13927, $48398,
98365 ,4507, $62143,
98366 ,33311, $57413,
98367 ,27616, $73811,
98368 ,14961, $44085,
98370 ,28482, $70738,
98371 ,19748, $66067,
98372 ,2319, $63121,
98373 ,23096, $61228,
98374 ,3857, $76880,
98375 ,28969, $71132,
98376 ,1927, $49125,
98377 ,1768, $29846,
98380 ,5028, $76458,
98381 ,465, $53409,
98382 ,27164, $48228,
98383 ,20816, $62113,
98385 ,395, $70227,
98387 ,44765, $63994,
98388 ,6784, $57880,
98390 ,10558, $54522,
98391 ,4589, $81918,
98392 ,3019, $54688,
98394 ,1525, $49464,
98396 ,613, $67250,
98402 ,6486, $33299,
98403 ,7931, $58337,
98404 ,33462, $43333,
98405 ,23846, $44787,
98406 ,21824, $62328,
98407 ,20415, $65939,
98408 ,18713, $46439,
98409 ,2326, $48357,
98418 ,10234, $47851,
98422 ,20344, $81761,
98424 ,10353, $58008,
98433 ,18416, $48869,
98439 ,5752, $35590,
98443 ,5542, $61307,
98444 ,35392, $39743,
98445 ,30199, $59135,
98446 ,9897, $64163,
98465 ,6544, $46857,
98466 ,26498, $54010,
98467 ,15836, $60125,
98498 ,27272, $56133,
98499 ,30237, $39046,
98501 ,40618, $67384,
98502 ,30299, $62475,
98503 ,36729, $57198,
98506 ,18288, $60079,
98512 ,28627, $66517,
98513 ,33792, $68651,
98516 ,21702, $68118,
98520 ,23809, $42790,
98524 ,3486, $56852,
98526 ,277, $43750,
98527 ,204, $45625,
98528 ,9286, $54621,
98530 ,522, $35000,
98531 ,24054, $38542,
98532 ,23977, $51685,
98533 ,764, $36033,
98535 ,461, $33507,
98536 ,169, $22750,
98537 ,2143, $55667,
98538 ,226, $74375,
98541 ,10178, $45262,
98542 ,459, $58550,
98546 ,3356, $64053,
98547 ,1086, $27069,
98548 ,2389, $32105,
98550 ,11311, $38726,
98552 ,625, $46750,
98555 ,336, $31760,
98557 ,3137, $52780,
98560 ,201, $38750,
98563 ,832, $54750,
98564 ,2395, $45313,
98565 ,516, $60833,
98568 ,2784, $46538,
98569 ,5923, $41685,
98570 ,4161, $43750,
98571 ,293, $58401,
98572 ,775, $47500,
98575 ,153, $47250,
98576 ,4691, $57073,
98577 ,6649, $43229,
98579 ,13494, $58239,
98580 ,1109, $61516,
98581 ,216, $36042,
98582 ,504, $27262,
98583 ,102, $25729,
98584 ,35968, $47826,
98585 ,660, $62222,
98586 ,2029, $33393,
98587 ,896, $29000,
98588 ,2165, $49306,
98589 ,7142, $55308,
98590 ,432, $38864,
98591 ,3569, $49120,
98592 ,1511, $64524,
98593 ,926, $42031,
98595 ,2474, $32013,
98596 ,767, $42404,
98597 ,2184, $53534,
98601 ,2643, $54688,
98602 ,96, $53250,
98603 ,1013, $59708,
98604 ,3484, $66206,
98605 ,1349, $39167,
98606 ,9339, $76722,
98607 ,28944, $83602,
98610 ,282, $39667,
98611 ,10021, $55021,
98612 ,2618, $48594,
98613 ,630, $56875,
98614 ,198, $38636,
98616 ,186, $31890,
98617 ,109, $47344,
98619 ,484, $46406,
98620 ,7114, $41381,
98621 ,540, $33125,
98624 ,1578, $44489,
98625 ,659, $55625,
98626 ,24352, $44777,
98628 ,413, $32031,
98629 ,8479, $74102,
98631 ,3659, $41214,
98632 ,48647, $41732,
98635 ,173, $33862,
98638 ,1365, $51771,
98639 ,964, $48036,
98640 ,3772, $34035,
98642 ,16294, $78448,
98643 ,436, $51477,
98644 ,338, $38641,
98645 ,1193, $54792,
98647 ,247, $26488,
98648 ,2836, $51471,
98649 ,1182, $72045,
98650 ,876, $53750,
98651 ,814, $49489,
98660 ,12345, $43214,
98661 ,4248, $40599,
98662 ,33688, $60034,
98663 ,13566, $53137,
98664 ,21205, $51489,
98665 ,24496, $50305,
98670 ,91, $45417,
98671 ,22633, $67655,
98672 ,5731, $54655,
98673 ,422, $35893,
98674 ,11174, $63774,
98675 ,7335, $59871,
98682 ,56326, $59325,
98683 ,31908, $58874,
98684 ,27442, $57216,
98685 ,26954, $79265,
98686 ,1806, $72204,
98801 ,41526, $50911,
98802 ,28672, $57872,
98811 ,87, $56607,
98812 ,4799, $40583,
98813 ,3189, $37986,
98814 ,345, $34355,
98815 ,7335, $59735,
98816 ,6986, $42721,
98817 ,429, $20156,
98819 ,153, $32917,
98821 ,327, $13875,
98822 ,2093, $45804,
98823 ,10821, $54651,
98824 ,453, $47928,
98826 ,6639, $46976,
98827 ,676, $36332,
98828 ,231, $60913,
98829 ,750, $37125,
98830 ,507, $55333,
98831 ,3446, $44334,
98832 ,263, $61875,
98833 ,190, $68750,
98834 ,200, $48875,
98836 ,1058, $65462,
98837 ,40917, $47962,
98840 ,4652, $45568,
98841 ,8803, $43972,
98843 ,1611, $51827,
98844 ,4483, $35542,
98845 ,233, $44091,
98846 ,1114, $38814,
98847 ,1617, $50195,
98848 ,11991, $45533,
98849 ,1436, $45114,
98850 ,1555, $37083,
98851 ,393, $33481,
98852 ,7, $21250,
98855 ,6415, $39028,
98856 ,2403, $32744,
98857 ,3983, $41742,
98858 ,23, $42868,
98859 ,164, $6065,
98860 ,252, $46364,
98862 ,2147, $62549,
98901 ,298, $35842,
98902 ,46904, $38142,
98903 ,15341, $46297,
98908 ,35926, $58063,
98921 ,1222, $23179,
98922 ,5734, $51105,
98923 ,1053, $53214,
98925 ,578, $52083,
98926 ,30624, $41614,
98930 ,16904, $42338,
98932 ,4986, $43117,
98933 ,1296, $51083,
98934 ,1019, $39167,
98935 ,3305, $38895,
98936 ,5562, $57068,
98937 ,3838, $51850,
98938 ,2593, $66750,
98939 ,93, $26250,
98940 ,572, $59653,
98941 ,947, $56932,
98942 ,16724, $57583,
98943 ,827, $48083,
98944 ,22693, $36040,
98946 ,588, $52625,
98947 ,3036, $42263,
98948 ,13067, $34002,
98950 ,563, $69886,
98951 ,13816, $38024,
98952 ,2293, $35574,
98953 ,7113, $55721,
99001 ,6227, $37880,
99003 ,513, $66169,
99004 ,18234, $41177,
99005 ,8291, $96689,
99006 ,10903, $52328,
99008 ,594, $51635,
99009 ,4055, $51726,
99011 ,3097, $44920,
99012 ,1051, $45076,
99013 ,1811, $45147,
99016 ,12908, $58608,
99017 ,191, $39821,
99018 ,306, $52045,
99019 ,9681, $72127,
99021 ,8897, $57727,
99022 ,9088, $55587,
99023 ,605, $93750,
99025 ,5029, $76477,
99026 ,9888, $70754,
99027 ,6187, $53263,
99029 ,1512, $63364,
99030 ,980, $60750,
99031 ,915, $30250,
99032 ,692, $34375,
99033 ,962, $49276,
99036 ,1255, $86382,
99037 ,12604, $59758,
99039 ,100, $49000,
99040 ,644, $29271,
99101 ,1645, $36691,
99102 ,444, $36667,
99103 ,478, $41458,
99105 ,50, $34500,
99109 ,512, $35242,
99110 ,1589, $37059,
99111 ,4226, $48835,
99113 ,652, $68167,
99114 ,11689, $40921,
99115 ,1309, $45139,
99116 ,1665, $50134,
99117 ,498, $40938,
99118 ,850, $42344,
99119 ,948, $40833,
99121 ,160, $45938,
99122 ,3458, $51276,
99123 ,1209, $60263,
99124 ,317, $44583,
99125 ,504, $44375,
99126 ,105, $49946,
99128 ,368, $75833,
99129 ,829, $31625,
99130 ,725, $46583,
99131 ,153, $41750,
99133 ,1562, $34432,
99134 ,648, $63750,
99135 ,260, $62083,
99136 ,33, $32500,
99137 ,316, $38636,
99138 ,1195, $25795,
99139 ,1424, $47788,
99140 ,409, $24792,
99141 ,5263, $44243,
99143 ,631, $40357,
99144 ,37, $2499,
99146 ,89, $60521,
99147 ,115, $52500,
99148 ,1999, $48125,
99149 ,173, $33864,
99150 ,253, $28750,
99151 ,153, $30625,
99152 ,195, $54861,
99153 ,379, $33375,
99154 ,31, $117917,
99155 ,1129, $22422,
99156 ,8256, $37309,
99157 ,842, $24306,
99158 ,710, $46806,
99159 ,1354, $48750,
99160 ,127, $14750,
99161 ,1422, $57904,
99163 ,32285, $26116,
99166 ,3606, $40450,
99167 ,659, $45139,
99169 ,278, $46523,
99170 ,1, $42629,
99171 ,979, $42593,
99173 ,1595, $35762,
99174 ,61, $36667,
99176 ,197, $53125,
99179 ,603, $64917,
99180 ,103, $40203,
99181 ,185, $31375,
99185 ,1178, $41964,
99201 ,13884, $23659,
99202 ,19814, $34180,
99203 ,20721, $67367,
99204 ,6521, $29483,
99205 ,41347, $45544,
99206 ,3676, $52057,
99207 ,30559, $33235,
99208 ,50686, $54446,
99212 ,19129, $51687,
99216 ,24089, $45768,
99217 ,18241, $49731,
99218 ,15975, $49521,
99223 ,30757, $62647,
99224 ,20531, $57706,
99301 ,74025, $57533,
99320 ,8791, $63005,
99321 ,661, $58300,
99322 ,215, $56250,
99323 ,3451, $75046,
99324 ,9273, $43639,
99326 ,5912, $54250,
99328 ,3753, $39481,
99329 ,192, $50417,
99330 ,806, $46705,
99333 ,38, $26250,
99335 ,245, $40000,
99336 ,49982, $42043,
99337 ,29798, $66201,
